"","NO","miRBase.ID(s)","HGNC.symbol","family.No.","Chromosome","Gene.Start.(bp)","Gene.End.(bp)","Strand"
"1154",40,"hsa-mir-4436a","MIR4436A",4436,"2",88812370,88812454,1
"831",41,"hsa-mir-3127","MIR3127",3127,"2",96798278,96798353,1
"1521",42,"hsa-mir-5696","MIR5696",5696,"2",101309450,101309534,1
"1414",43,"hsa-mir-4772","MIR4772",4772,"2",102432289,102432366,1
"1064",44,"hsa-mir-4265","MIR4265",4265,"2",109141490,109141588,-1
"1065",45,"hsa-mir-4266","MIR4266",4266,"2",109313571,109313625,-1
"1066",46,"hsa-mir-4267","MIR4267",4267,"2",110069961,110070042,-1
"1155",47,"hsa-mir-4436b-1","MIR4436B1",4436,"2",110086433,110086523,-1
"1156",48,"hsa-mir-4436b-2","MIR4436B2",4436,"2",110284853,110284943,1
"1153",49,"hsa-mir-4435-2","MIR4435-2",4435,"2",111321013,111321086,-1
"1413",50,"hsa-mir-4771-2","MIR4771-2",4771,"2",111771061,111771134,-1
"753",51,"hsa-mir-1302-3","MIR1302-3",1302,"2",113582959,113583096,-1
"1426",52,"hsa-mir-4782","MIR4782",4782,"2",113721290,113721368,-1
"1427",53,"hsa-mir-4783","MIR4783",4783,"2",127423537,127423618,-1
"1428",54,"hsa-mir-4784","MIR4784",4784,"2",131491160,131491236,-1
"579",55,"hsa-mir-663b","MIR663B",663,"2",132256966,132257080,-1
"977",56,"hsa-mir-3679","MIR3679",3679,"2",134127125,134127192,1
"1499",57,"hsa-mir-5590","MIR5590",5590,"2",134857820,134857873,1
"95",58,"hsa-mir-128-1","MIR128-1",128,"2",135665397,135665478,1
"1805",59,"hsa-mir-7157","MIR7157",7157,"2",140586626,140586685,-1
"1415",60,"hsa-mir-4773-1","MIR4773-1",4773,"2",151368334,151368411,1
"1416",61,"hsa-mir-4773-2","MIR4773-2",4773,"2",151368334,151368411,-1
"1781",62,"hsa-mir-6888","MIR6888",6888,"2",159186835,159186901,1
"1429",63,"hsa-mir-4785","MIR4785",4785,"2",160407810,160407882,-1
"1417",64,"hsa-mir-4774","MIR4774",4774,"2",168582943,168583018,1
"623",65,"hsa-mir-933","MIR933",933,"2",175167633,175167709,-1
"21",66,"hsa-mir-10b","MIR10B",10,"2",176150303,176150412,1
"1816",67,"hsa-mir-7704","MIR7704",7704,"2",176188843,176188901,1
"681",68,"hsa-mir-1246","MIR1246",1246,"2",176600980,176601052,-1
"1164",69,"hsa-mir-4444-1","MIR4444-1",4444,"2",177212726,177212799,1
"832",70,"hsa-mir-3128","MIR3128",3128,"2",177255945,177256010,-1
"1592",71,"hsa-mir-6512","MIR6512",6512,"2",177313806,177313882,-1
"696",72,"hsa-mir-1258","MIR1258",1258,"2",179860836,179860908,-1
"1157",73,"hsa-mir-4437","MIR4437",4437,"2",181305593,181305652,-1
"397",74,"hsa-mir-548ae-1","MIR548AE1",548,"2",184378975,184379044,1
"477",75,"hsa-mir-561","MIR561",561,"2",188297492,188297588,1
"679",76,"hsa-mir-1245a","MIR1245A",1245,"2",188978092,188978161,1
"680",77,"hsa-mir-1245b","MIR1245B",1245,"2",188978093,188978161,-1
"927",78,"hsa-mir-3606","MIR3606",3606,"2",188995630,188995692,1
"833",79,"hsa-mir-3129","MIR3129",3129,"2",189133036,189133111,-1
"834",80,"hsa-mir-3130-1","MIR3130-1",3130,"2",206783234,206783308,-1
"835",81,"hsa-mir-3130-2","MIR3130-2",3130,"2",206783234,206783308,1
"804",82,"hsa-mir-2355","MIR2355",2355,"2",207109987,207110073,-1
"1821",83,"hsa-mir-7845","MIR7845",7845,"2",207166400,207166498,1
"754",84,"hsa-mir-1302-4","MIR1302-4",1302,"2",207269275,207269424,-1
"1418",85,"hsa-mir-4775","MIR4775",4775,"2",207754807,207754881,1
"429",86,"hsa-mir-548f-2","MIR548F2",548,"2",212426263,212426360,-1
"1419",87,"hsa-mir-4776-1","MIR4776-1",4776,"2",212926257,212926336,1
"1420",88,"hsa-mir-4776-2","MIR4776-2",4776,"2",212926257,212926336,-1
"1158",89,"hsa-mir-4438","MIR4438",4438,"2",213758067,213758159,1
"1698",90,"hsa-mir-6809","MIR6809",6809,"2",217900513,217900628,-1
"1593",91,"hsa-mir-6513","MIR6513",6513,"2",218280125,218280188,-1
"1699",92,"hsa-mir-6810","MIR6810",6810,"2",218341911,218341980,1
"44",93,"hsa-mir-26b","MIR26B",26,"2",218402646,218402722,1
"1881",94,"hsa-mir-9500","MIR9500",9500,"2",218823090,218823154,1
"247",95,"hsa-mir-375","MIR375",375,"2",219001645,219001708,-1
"836",96,"hsa-mir-3131","MIR3131",3131,"2",219058688,219058750,-1
"131",97,"hsa-mir-153-1","MIR153-1",153,"2",219294111,219294200,-1
"837",98,"hsa-mir-3132","MIR3132",3132,"2",219549073,219549147,-1
"1067",99,"hsa-mir-4268","MIR4268",4268,"2",219906502,219906565,-1
"1159",100,"hsa-mir-4439","MIR4439",4439,"2",225010461,225010540,-1
"1529",101,"hsa-mir-5702","MIR5702",5702,"2",226658710,226658793,-1
"1530",102,"hsa-mir-5703","MIR5703",5703,"2",227472132,227472187,1
"1421",103,"hsa-mir-4777","MIR4777",4777,"2",231362708,231362793,1
"675",104,"hsa-mir-1244-1","MIR1244-1",1244,"2",231713314,231713398,1
"773",105,"hsa-mir-1471","MIR1471",1471,"2",231892242,231892298,-1
"478",106,"hsa-mir-562","MIR562",562,"2",232172653,232172747,1
"1451",107,"hsa-mir-5001","MIR5001",5001,"2",232550474,232550573,-1
"1700",108,"hsa-mir-6811","MIR6811",6811,"2",237510931,237510988,1
"1160",109,"hsa-mir-4440","MIR4440",4440,"2",239068817,239068914,-1
"1161",110,"hsa-mir-4441","MIR4441",4441,"2",239085827,239085926,-1
"1068",111,"hsa-mir-4269","MIR4269",4269,"2",239305462,239305545,1
"806",112,"hsa-mir-2467","MIR2467",2467,"2",239351724,239351804,-1
"1430",113,"hsa-mir-4786","MIR4786",4786,"2",239943015,239943094,-1
"126",114,"hsa-mir-149","MIR149",149,"2",240456001,240456089,1
"838",115,"hsa-mir-3133","MIR3133",3133,"2",241477905,241477982,1
"1434",1,"hsa-mir-4790","MIR4790",4790,"3",5250177,5250255,-1
"254",2,"hsa-mir-378b","MIR378B",378,"3",10330229,10330285,1
"609",3,"hsa-mir-885","MIR885",885,"3",10394489,10394562,-1
"1069",4,"hsa-mir-4270","MIR4270",4270,"3",15496239,15496308,-1
"839",5,"hsa-mir-3134","MIR3134",3134,"3",15697298,15697371,-1
"479",6,"hsa-mir-563","MIR563",563,"3",15873771,15873849,1
"1002",7,"hsa-mir-3714","MIR3714",3714,"3",16933196,16933260,1
"1435",8,"hsa-mir-4791","MIR4791",4791,"3",19314848,19314931,-1
"840",9,"hsa-mir-3135a","MIR3135A",3135,"3",20137565,20137641,1
"1436",10,"hsa-mir-4792","MIR4792",4792,"3",24521362,24521435,-1
"1162",11,"hsa-mir-4442","MIR4442",4442,"3",25664873,25664939,-1
"295",12,"hsa-mir-466","MIR466",466,"3",31161704,31161787,-1
"419",13,"hsa-mir-548ay","MIR548AY",548,"3",32506283,32506389,-1
"96",14,"hsa-mir-128-2","MIR128-2",128,"3",35744476,35744559,1
"42",15,"hsa-mir-26a-1","MIR26A1",26,"3",37969404,37969480,1
"1711",16,"hsa-mir-6822","MIR6822",6822,"3",39138206,39138266,1
"111",17,"hsa-mir-138-1","MIR138-1",138,"3",44114212,44114310,1
"480",18,"hsa-mir-564","MIR564",564,"3",44861888,44861981,1
"663",19,"hsa-mir-1226","MIR1226",1226,"3",47849555,47849629,1
"1163",20,"hsa-mir-4443","MIR4443",4443,"3",48196564,48196616,1
"798",21,"hsa-mir-2115","MIR2115",2115,"3",48316360,48316459,-1
"1712",22,"hsa-mir-6823","MIR6823",6823,"3",48549961,48550021,-1
"589",23,"hsa-mir-711","MIR711",711,"3",48578902,48578977,-1
"1713",24,"hsa-mir-6824","MIR6824",6824,"3",48633636,48633698,-1
"1437",25,"hsa-mir-4793","MIR4793",4793,"3",48644194,48644280,-1
"278",26,"hsa-mir-425","MIR425",425,"3",49020148,49020234,-1
"150",27,"hsa-mir-191","MIR191",191,"3",49020618,49020709,-1
"1783",28,"hsa-mir-6890","MIR6890",6890,"3",49099854,49099914,-1
"1070",29,"hsa-mir-4271","MIR4271",4271,"3",49274120,49274186,1
"1480",30,"hsa-mir-5193","MIR5193",5193,"3",49806137,49806245,-1
"481",31,"hsa-mir-566","MIR566",566,"3",50173326,50173419,1
"1537",32,"hsa-mir-5787","MIR5787",5787,"3",50227436,50227490,1
"1765",33,"hsa-mir-6872","MIR6872",6872,"3",50273236,50273297,1
"1431",34,"hsa-mir-4787","MIR4787",4787,"3",50675080,50675163,1
"10",35,"hsa-let-7g","MIRLET7G",7,"3",52268278,52268361,-1
"106",36,"hsa-mir-135a-1","MIR135A1",135,"3",52294219,52294308,-1
"1852",37,"hsa-mir-8064","MIR8064",8064,"3",52846463,52846552,-1
"1034",38,"hsa-mir-3938","MIR3938",3938,"3",55852492,55852594,-1
"423",39,"hsa-mir-548bb","MIR548BB",548,"3",60617805,60617870,-1
"1071",40,"hsa-mir-4272","MIR4272",4272,"3",67225464,67225527,1
"842",41,"hsa-mir-3136","MIR3136",3136,"3",69048958,69049035,-1
"729",42,"hsa-mir-1284","MIR1284",1284,"3",71541970,71542089,-1
"1165",43,"hsa-mir-4444-2","MIR4444-2",4444,"3",75214476,75214549,1
"768",44,"hsa-mir-1324","MIR1324",1324,"3",75630763,75630858,1
"1072",45,"hsa-mir-4273","MIR4273",4273,"3",75738280,75738363,1
"1022",46,"hsa-mir-3923","MIR3923",3923,"3",79507887,79507969,1
"1509",47,"hsa-mir-5688","MIR5688",5688,"3",85385710,85385792,1
"1439",48,"hsa-mir-4795","MIR4795",4795,"3",87226189,87226277,-1
"1848",49,"hsa-mir-8060","MIR8060",8060,"3",96359964,96360039,1
"1020",50,"hsa-mir-3921","MIR3921",3921,"3",99964314,99964398,-1
"394",51,"hsa-mir-548ab","MIR548AB",548,"3",103524033,103524116,-1
"1166",52,"hsa-mir-4445","MIR4445",4445,"3",109602828,109602897,1
"482",53,"hsa-mir-567","MIR567",567,"3",112112801,112112898,1
"1866",54,"hsa-mir-8076","MIR8076",8076,"3",113432118,113432200,-1
"1167",55,"hsa-mir-4446","MIR4446",4446,"3",113594876,113594942,1
"483",56,"hsa-mir-568","MIR568",568,"3",114316475,114316569,-1
"1440",57,"hsa-mir-4796","MIR4796",4796,"3",114743445,114743525,-1
"1168",58,"hsa-mir-4447","MIR4447",4447,"3",116850277,116850367,-1
"161",59,"hsa-mir-198","MIR198",198,"3",120395668,120395729,-1
"1504",60,"hsa-mir-5682","MIR5682",5682,"3",121049640,121049715,1
"1793",61,"hsa-mir-7110","MIR7110",7110,"3",123161794,123161879,1
"1452",62,"hsa-mir-5002","MIR5002",5002,"3",124132929,124133025,1
"1553",63,"hsa-mir-6083","MIR6083",6083,"3",124374332,124374437,1
"387",64,"hsa-mir-544b","MIR544B",544,"3",124732439,124732516,1
"1467",65,"hsa-mir-5092","MIR5092",5092,"3",125151465,125151552,-1
"439",66,"hsa-mir-548i-1","MIR548I1",548,"3",125790404,125790552,-1
"1714",67,"hsa-mir-6825","MIR6825",6825,"3",127575266,127575331,-1
"1837",68,"hsa-mir-7976","MIR7976",7976,"3",127587111,127587176,-1
"1715",69,"hsa-mir-6826","MIR6826",6826,"3",129272146,129272243,1
"1531",70,"hsa-mir-5704","MIR5704",5704,"3",131985855,131985931,-1
"1716",71,"hsa-mir-6827","MIR6827",6827,"3",134367804,134367862,-1
"1432",72,"hsa-mir-4788","MIR4788",4788,"3",134437827,134437906,1
"1473",73,"hsa-mir-5186","MIR5186",5186,"3",151565876,151565995,-1
"1018",74,"hsa-mir-3919","MIR3919",3919,"3",159282646,159282734,1
"23",75,"hsa-mir-15b","MIR15B",15,"3",160404588,160404685,1
"25",76,"hsa-mir-16-2","MIR16-2",16,"3",160404745,160404825,1
"701",77,"hsa-mir-1263","MIR1263",1263,"3",164171471,164171556,-1
"468",78,"hsa-mir-551b","MIR551B",551,"3",168551854,168551949,1
"1717",79,"hsa-mir-6828","MIR6828",6828,"3",170423103,170423162,1
"484",80,"hsa-mir-569","MIR569",569,"3",171106664,171106759,-1
"1433",81,"hsa-mir-4789","MIR4789",4789,"3",175369540,175369621,1
